id,Year,Total enrollment,Males,Females,4-year,2-year,Total - Public,4-year - Public,2-year - Public,Total - Private,4-year - Private,2-year - Private
1,1976.0,222613.0,104669.0,117944.0,206676.0,15937.0,156836.0,143528.0,13308.0,65777.0,63148.0,2629.0
2,1980.0,233557.0,106387.0,127170.0,218009.0,15548.0,168217.0,155085.0,13132.0,65340.0,62924.0,2416.0
3,1982.0,228371.0,104897.0,123474.0,212017.0,16354.0,165871.0,151472.0,14399.0,62500.0,60545.0,1955.0
4,1984.0,227519.0,102823.0,124696.0,212844.0,14675.0,164116.0,151289.0,12827.0,63403.0,61555.0,1848.0
5,1986.0,223275.0,97523.0,125752.0,207231.0,16044.0,162048.0,147631.0,14417.0,61227.0,59600.0,1627.0
6,1988.0,239755.0,100561.0,139194.0,223250.0,16505.0,173672.0,158606.0,15066.0,66083.0,64644.0,1439.0
7,1990.0,257152.0,105157.0,151995.0,240497.0,16655.0,187046.0,171969.0,15077.0,70106.0,68528.0,1578.0
8,1991.0,269335.0,110442.0,158893.0,252093.0,17242.0,197847.0,182204.0,15643.0,71488.0,69889.0,1599.0
9,1992.0,279541.0,114622.0,164919.0,261089.0,18452.0,204966.0,188143.0,16823.0,74575.0,72946.0,1629.0
10,1993.0,282856.0,116397.0,166459.0,262430.0,20426.0,208197.0,189032.0,19165.0,74659.0,73398.0,1261.0
11,1994.0,280071.0,114006.0,166065.0,259997.0,20074.0,206520.0,187735.0,18785.0,73551.0,72262.0,1289.0
12,1995.0,278725.0,112637.0,166088.0,259409.0,19316.0,204726.0,186278.0,18448.0,73999.0,73131.0,868.0
13,1996.0,273018.0,109498.0,163520.0,253654.0,19364.0,200569.0,182063.0,18506.0,72449.0,71591.0,858.0
14,1997.0,269167.0,106865.0,162302.0,248860.0,20307.0,194674.0,175297.0,19377.0,74493.0,73563.0,930.0
15,1998.0,273472.0,108752.0,164720.0,248931.0,24541.0,198603.0,174776.0,23827.0,74869.0,74155.0,714.0
16,1999.0,274321.0,108301.0,166020.0,249156.0,25165.0,199826.0,175364.0,24462.0,74495.0,73792.0,703.0
17,2000.0,275680.0,108164.0,167516.0,250710.0,24970.0,199725.0,175404.0,24321.0,75955.0,75306.0,649.0
18,2001.0,289985.0,112874.0,177111.0,260547.0,29438.0,210083.0,181346.0,28737.0,79902.0,79201.0,701.0
19,2002.0,299041.0,115466.0,183575.0,269020.0,30021.0,218433.0,189183.0,29250.0,80608.0,79837.0,771.0
20,2003.0,306727.0,117795.0,188932.0,274326.0,32401.0,228096.0,196077.0,32019.0,78631.0,78249.0,382.0
21,2004.0,308939.0,118129.0,190810.0,276136.0,32803.0,231179.0,198810.0,32369.0,77760.0,77326.0,434.0
22,2005.0,311768.0,120023.0,191745.0,272666.0,39102.0,235875.0,197200.0,38675.0,75893.0,75466.0,427.0
23,2006.0,308774.0,118865.0,189909.0,272770.0,36004.0,234505.0,198676.0,35829.0,74269.0,74094.0,175.0
24,2007.0,306515.0,118640.0,187875.0,270915.0,35600.0,233807.0,198300.0,35507.0,72708.0,72615.0,93.0
25,2008.0,313491.0,121873.0,191618.0,274568.0,38923.0,235824.0,197025.0,38799.0,77667.0,77543.0,124.0
26,2009.0,322860.0,125728.0,197132.0,280133.0,42727.0,246595.0,204016.0,42579.0,76265.0,76117.0,148.0
27,2010.0,326614.0,127437.0,199177.0,283099.0,43515.0,249146.0,205774.0,43372.0,77468.0,77325.0,143.0
28,2011.0,323648.0,126160.0,197488.0,281150.0,42498.0,246685.0,204363.0,42322.0,76963.0,76787.0,176.0
29,2012.0,312438.0,121719.0,190719.0,273033.0,39405.0,237782.0,198568.0,39214.0,74656.0,74465.0,191.0
30,2013.0,303191.0,119299.0,183892.0,264454.0,38737.0,230325.0,191918.0,38407.0,72866.0,72536.0,330.0
31,2014.0,294316.0,115837.0,178479.0,256936.0,37380.0,222876.0,185899.0,36977.0,71440.0,71037.0,403.0
32,2015.0,293388.0,115825.0,177563.0,256379.0,37009.0,221360.0,184587.0,36773.0,72028.0,71792.0,236.0
